@relation DatosTrain

@attribute característica_1 real
@attribute característica_2 real
@attribute hipótesis {-1, 1}


@data
2.80396,6.67217,1
2.46315,6.47879,1
-0.49794,3.48429,1
2.10236,6.19113,1
1.43313,5.58339,1
2.02948,5.60476,1
1.31114,4.65022,1
-0.37166,4.23914,1
2.41647,6.27748,1
0.57165,5.46628,1
1.47939,4.89488,1
1.84760,5.47183,1
3.45712,8.35601,1
3.23080,8.12105,1
0.57441,3.92361,1
0.98489,5.11550,1
2.01262,6.86081,1
-0.88809,3.95480,1
3.08651,6.27387,1
0.68916,5.71271,1
2.61826,7.03672,1
0.59338,4.73716,1
0.69620,4.55353,1
4.00111,7.39016,1
2.02779,6.08789,1
1.28731,5.12494,1
-0.21048,5.25057,1
2.48663,6.60683,1
1.87939,5.76972,1
-0.64338,3.34775,1
0.83683,4.44930,1
3.66246,8.97278,1
1.28739,5.69028,1
-0.42061,3.62675,1
0.30235,5.01276,1
1.11212,5.09117,1
2.18985,6.12802,1
1.52162,5.16958,1
1.79100,5.40173,1
0.97565,5.99046,1
0.34593,4.83197,1
2.58513,6.64011,1
0.61451,5.69244,1
1.05290,5.06784,1
1.59326,5.77670,1
1.88550,4.98748,1
0.85494,5.15553,1
2.07826,5.16289,1
3.81711,7.19206,1
1.71328,6.31372,1
0.76746,4.98960,1
0.95093,4.39925,1
1.49846,1.91076,-1
0.87775,2.49245,-1
3.42226,1.28932,-1
1.78909,2.10269,-1
1.03525,1.62606,-1
1.73021,1.55424,-1
0.92551,3.21426,-1
2.08119,3.28641,-1
1.53329,4.01077,-1
1.67666,1.05025,-1
1.90549,1.85582,-1
2.31981,2.98337,-1
1.19255,0.92675,-1
0.91684,6.39837,-1
1.58161,2.31625,-1
1.18629,1.45206,-1
1.95422,3.74225,-1
0.78516,2.52510,-1
2.32433,2.15018,-1
1.86369,1.33895,-1
1.05694,0.69821,-1
1.45223,1.12960,-1
2.30515,1.36700,-1
4.35179,2.64195,-1
1.43270,2.91159,-1
2.86562,1.25712,-1
1.16852,3.30986,-1
1.79097,3.00552,-1
1.51740,1.86768,-1
1.88910,1.13799,-1
1.35088,3.43915,-1
0.93374,1.86296,-1
1.47948,1.09626,-1
1.96573,2.34286,-1
1.34655,2.75702,-1
1.53152,0.83780,-1
1.93634,6.17089,-1
2.04560,0.55464,-1
1.22944,0.75492,-1
1.48090,4.19717,-1
2.33553,2.44759,-1
1.88194,1.55683,-1
0.96160,2.02781,-1
3.06225,3.12299,-1
1.28833,1.19624,-1
1.24679,3.51449,-1
0.93292,3.05992,-1
1.57798,1.95993,-1
1.58236,2.25856,-1
1.44906,1.38091,-1
1.17841,1.20446,-1
0.84855,1.59484,-1
5.50136,3.73260,-1
3.00518,1.74398,-1
1.42818,1.53576,-1
1.57467,1.11900,-1
1.90325,1.02013,-1
1.64074,2.04066,-1
1.31240,3.75897,-1
2.39555,4.21602,-1
1.04569,2.81823,-1
3.60707,1.67293,-1
0.81441,1.61517,-1
1.44870,2.50774,-1
2.33739,3.53412,-1
1.72835,3.61303,-1
0.90373,0.56476,-1
2.38389,1.95839,-1
1.75997,1.12742,-1
1.19021,1.51778,-1
1.93767,5.70382,-1
2.23103,1.26299,-1
3.95024,0.73324,-1
1.58802,2.23942,-1
1.46568,1.86883,-1
1.34727,1.56936,-1
0.76277,3.41328,-1
2.03105,2.82830,-1
0.72487,2.52326,-1
1.48003,1.70545,-1
1.47696,2.48447,-1
2.31187,1.69082,-1
0.54418,2.25161,-1
2.38031,2.84613,-1
1.33950,2.46895,-1
0.98294,1.34488,-1
1.64298,1.45906,-1
1.81003,1.07886,-1
1.39142,3.66332,-1
0.91596,1.98252,-1
2.67131,1.35771,-1
1.78414,3.02420,-1
1.24265,1.48216,-1
2.68196,2.63163,-1
1.90955,5.00272,-1
0.99302,3.53479,-1
2.11366,1.82924,-1
0.80398,1.88080,-1
1.07990,6.43837,-1
1.75175,1.81761,-1
1.94353,2.41259,-1
1.69588,2.44879,-1
0.76093,3.50749,-1
2.28757,2.29143,-1
2.73110,2.50866,-1
2.62988,2.44316,-1
1.31241,10.10876,-1
1.40838,3.40635,-1
1.09749,1.19018,-1
1.82227,0.96999,-1
1.82367,0.76422,-1
1.21095,6.07419,-1
2.38171,1.23201,-1
2.31837,3.65202,-1
2.14438,2.77400,-1
1.21971,0.80571,-1
0.96522,6.77823,-1
2.14018,2.80493,-1
2.94140,6.00196,-1
0.98408,2.47338,-1
0.68162,2.24283,-1
2.92836,1.09243,-1
1.60855,2.05970,-1
2.64091,2.18644,-1
2.44539,0.80845,-1
1.01265,1.99102,-1
1.38715,2.22098,-1
1.18060,1.30644,-1
1.77158,2.57632,-1
2.62878,0.97280,-1
1.68606,1.42726,-1
0.71176,2.14521,-1
2.70234,1.40066,-1
1.65048,2.59368,-1
1.37188,1.61982,-1
0.71087,1.19188,-1
1.91471,3.52174,-1
1.81861,2.88644,-1
1.88784,2.83720,-1
1.07119,3.03760,-1
1.23113,3.69010,-1
1.14279,3.64925,-1
3.37037,2.05487,-1
1.18749,1.53701,-1
1.52396,1.88439,-1
1.15482,4.23217,-1
2.37334,0.98146,-1
1.64065,1.43529,-1
1.69745,3.76589,-1
2.40071,3.34545,-1
2.15997,1.49583,-1
2.25779,1.77875,-1
0.70251,1.83404,-1
1.80033,1.70704,-1
2.42666,0.46489,-1
1.89648,1.55832,-1
2.36488,2.42404,-1
3.85155,8.76657,-1
2.71675,0.83730,-1
1.05203,1.37530,-1
1.18290,1.59794,-1
1.57033,1.14412,-1
1.27502,1.34412,-1
1.59747,0.63474,-1
2.69459,1.88240,-1
1.33303,1.47535,-1
1.47043,2.77594,-1
1.50525,2.08432,-1
2.15935,3.81710,-1
2.49612,5.32516,-1
1.55304,2.16650,-1
1.45233,0.95808,-1
2.39513,2.33141,-1
2.20188,4.65972,-1
2.00426,1.90164,-1
6.08897,2.54104,-1
1.66976,1.12774,-1
1.88987,4.98041,-1
1.59454,2.56587,-1
2.10975,1.56317,-1
1.33643,0.73756,-1
2.46720,1.33299,-1
3.42685,1.08729,-1
1.70594,1.49850,-1
1.60427,2.47957,-1
1.31602,3.31220,-1
1.36420,2.21086,-1
0.83409,2.11748,-1
1.61367,2.52129,-1
1.15889,9.89393,-1
2.72470,2.45869,-1
1.75477,2.19123,-1
1.68535,5.18983,-1
2.88470,2.12491,-1
0.81037,1.34475,-1
1.88111,3.52238,-1
1.07987,1.62461,-1
1.27463,2.27336,-1
1.82828,3.40672,-1
2.35532,3.26993,-1
1.17981,0.76951,-1
2.05702,0.48810,-1
2.95460,1.32178,-1
1.17113,5.42567,-1
1.10866,2.31879,-1
1.64102,1.83850,-1
2.11862,1.83394,-1
1.64971,3.75429,-1
1.18942,2.45540,-1
1.72644,2.67911,-1
1.79110,0.57447,-1
1.38013,1.81408,-1
1.05317,2.03707,-1
1.96235,1.20200,-1
1.66003,1.98621,-1
1.42590,1.40300,-1
1.28083,3.39377,-1
1.34968,1.42977,-1
1.16547,4.40530,-1
1.08759,1.96288,-1
2.73511,3.44636,-1
1.49693,7.93207,-1
0.82563,2.09614,-1
1.35622,4.93698,-1
2.51973,1.05815,-1
1.32941,6.01350,-1
3.35662,0.97525,-1
1.20707,1.93627,-1
1.21995,1.65516,-1
1.09062,1.01056,-1
2.62619,0.91867,-1
1.30729,2.96783,-1
1.94823,0.87501,-1
0.85278,0.90086,-1
1.31118,3.96428,-1
2.14619,2.01580,-1
0.98791,2.52897,-1
1.68211,1.17257,-1
2.05312,1.78948,-1
3.35811,2.42096,-1
2.13067,2.22660,-1
2.40772,5.88759,-1
1.43089,1.38479,-1
1.30797,1.84047,-1
1.68639,3.31789,-1
1.15335,3.55678,-1
2.58269,0.61616,-1
2.24865,1.59181,-1
2.42298,1.34175,-1
2.73003,1.99449,-1
1.57906,2.74314,-1
1.30883,2.62977,-1
2.03451,3.99298,-1
2.61374,2.63428,-1
2.32414,2.43334,-1
2.40664,3.55145,-1
3.01154,2.60439,-1
1.85546,0.90959,-1
2.66883,2.15091,-1
1.64093,0.74615,-1
2.26098,3.92122,-1
0.94042,0.56852,-1
3.05519,1.44788,-1
0.81061,2.13093,-1
1.79008,1.96810,-1
1.43550,6.23237,-1
1.03708,2.08189,-1
1.88576,1.39329,-1
1.88306,2.86397,-1
2.89934,0.97626,-1
1.74150,2.79323,-1
2.07726,2.34095,-1
1.81709,1.59098,-1
2.96557,1.38649,-1
2.59146,0.98582,-1
1.65576,0.65241,-1
1.73279,1.56142,-1
3.35943,3.21024,-1
1.49812,1.31212,-1
2.32378,5.21106,-1
1.16028,1.18177,-1
1.21558,7.27539,-1
2.32824,1.32935,-1
2.13683,2.13737,-1
2.51743,4.76352,-1
1.27983,4.22087,-1
2.47737,1.27815,-1
1.76609,3.13662,-1
1.61771,1.03188,-1
3.24027,0.72360,-1
2.92946,2.99426,-1
0.67003,0.71335,-1
1.90141,0.55831,-1
1.17340,1.94249,-1
1.46255,4.62471,-1
1.27928,4.18158,-1
3.15753,0.82117,-1
2.70859,2.05931,-1
2.05878,3.25998,-1
2.18446,3.61218,-1
1.98033,5.13685,-1
2.16754,5.21610,-1
1.82306,3.36618,-1
1.53510,0.85668,-1
2.01999,2.06230,-1
1.45651,0.87990,-1
1.40811,4.22003,-1
1.48009,5.72731,-1
1.59161,0.60599,-1
1.65402,3.32443,-1
4.53905,1.63937,-1
1.01076,1.51168,-1
1.07390,1.18121,-1
1.81925,4.29760,-1
1.61568,2.53431,-1
1.23114,1.87513,-1
1.87910,2.58661,-1
2.22821,3.69852,-1
1.03926,1.19517,-1
1.40053,1.25006,-1
0.98495,3.04378,-1
1.70477,5.21429,-1
1.76036,4.26357,-1
2.16632,1.87881,-1
1.06764,0.90569,-1
1.85706,0.49377,-1
1.55687,1.15496,-1
2.87710,3.96593,-1
1.86395,1.44849,-1
1.32993,2.38748,-1
1.50445,2.28798,-1
1.33044,0.53705,-1
2.93178,4.26586,-1
1.34388,6.78574,-1
0.86698,1.96730,-1
1.52121,3.66618,-1
2.60492,1.27839,-1
2.14967,2.87970,-1
1.76056,7.19891,-1
3.36747,4.42396,-1
1.30332,1.32318,-1
1.82872,1.09224,-1
1.16331,2.07896,-1
1.20302,1.74681,-1
1.43658,1.93936,-1
2.13624,4.31745,-1
3.74961,2.29948,-1
2.26954,5.46527,-1
1.07419,1.96251,-1
1.51883,1.85904,-1
1.32078,3.24112,-1
1.46642,2.60066,-1
2.64347,1.77546,-1
1.91738,0.77655,-1
2.45133,1.03063,-1
2.09883,2.91571,-1
1.20063,2.79010,-1
2.39247,0.83465,-1
0.96064,2.16397,-1
2.27031,2.76658,-1
2.09563,0.99487,-1
2.56042,1.10636,-1
0.93436,4.12236,-1
1.51975,0.70313,-1
1.66058,2.63246,-1
1.71625,3.62131,-1
2.34092,0.68746,-1
2.18208,1.86244,-1
2.14000,0.99487,-1
1.77077,2.12544,-1
3.22330,1.56315,-1
1.44768,0.74784,-1
1.71679,2.91766,-1
1.30908,2.87973,-1
1.60864,1.38949,-1
2.20391,2.76413,-1
1.00910,0.89889,-1
1.77957,0.95996,-1
1.22884,1.00797,-1
2.25998,1.88590,-1
0.75115,1.47032,-1
0.75412,6.33937,-1
3.15730,1.92965,-1
1.55307,2.82103,-1
0.75028,2.84182,-1
0.83991,2.51693,-1
1.59238,2.25921,-1
1.86443,4.24801,-1
1.88706,1.00151,-1
2.52640,5.37179,-1
1.88358,3.03982,-1
1.60096,1.01036,-1
2.50704,3.92001,-1
3.75672,4.09406,-1
1.66642,5.60914,-1
1.49749,1.56488,-1
2.49775,5.38505,-1
1.34596,2.35863,-1
0.91098,0.83687,-1
1.57997,1.26402,-1
1.81867,3.51730,-1
1.74773,5.90485,-1
1.05418,0.99016,-1
1.29852,1.88381,-1
1.25634,1.35790,-1
2.41578,6.22044,-1
1.56468,1.17627,-1
2.13777,4.47678,-1
2.09469,1.38439,-1
1.52653,3.20915,-1
0.74653,0.90978,-1
1.90632,4.95385,-1
2.18492,0.53701,-1
1.22013,2.44369,-1
1.63760,2.59245,-1
1.38173,1.23070,-1
3.25611,1.12764,-1
1.62868,2.90261,-1
1.78884,1.08142,-1
1.08424,1.97992,-1
1.22857,0.37089,-1
0.95827,0.57774,-1
2.20656,1.96040,-1
2.10197,3.93839,-1
1.18375,0.74849,-1
5.23338,3.02588,-1
2.38132,2.70904,-1
1.93928,1.41470,-1
3.54832,1.98505,-1
0.61738,7.49914,-1
1.58975,0.86906,-1
1.63253,2.68602,-1
1.78599,2.28081,-1
1.08836,2.44306,-1
2.03755,2.00666,-1
0.67919,2.38413,-1
1.72111,1.73186,-1
1.96514,0.72900,-1
1.62191,1.41849,-1
1.90737,2.31791,-1
1.21473,2.35201,-1
2.05404,2.89271,-1
1.41927,7.63375,-1
0.84903,0.74641,-1
1.45631,3.02904,-1
1.28663,2.18474,-1
1.09435,1.96837,-1
2.01778,1.32859,-1
1.67563,1.86542,-1
1.48900,3.02895,-1
1.32433,2.60057,-1
3.22405,0.76843,-1
2.63584,3.46851,-1
1.52864,2.33896,-1
1.70681,6.27477,-1
3.01930,1.03311,-1
3.37808,1.30575,-1
2.56267,0.70376,-1
1.44724,2.01812,-1
1.30588,3.65862,-1
2.22695,1.51077,-1
1.16708,1.47482,-1
1.07428,1.68743,-1
1.43033,1.82882,-1
2.41658,3.72144,-1
1.75718,2.03305,-1
1.81844,1.50743,-1
2.58545,2.94705,-1
1.81095,0.88811,-1
1.04558,2.88399,-1
2.30905,1.77909,-1
1.99479,7.26901,-1
1.59145,1.36440,-1
1.39764,2.59648,-1
1.32600,2.16132,-1
1.63296,1.05288,-1
1.19697,3.40524,-1
1.34329,0.52953,-1
0.90967,0.62646,-1
1.33983,0.91782,-1
1.24946,4.40779,-1
2.07728,3.63417,-1
2.95054,0.95044,-1
2.49476,1.80787,-1
2.50610,1.28912,-1
2.16081,2.31624,-1
2.05164,7.10506,-1
2.22553,1.19006,-1
1.23129,6.48358,-1
2.30086,1.52324,-1
1.02079,1.36186,-1
2.11173,2.90310,-1
1.18180,3.08168,-1
1.11829,2.38185,-1
1.37520,0.83487,-1
0.97914,1.33004,-1
1.65929,1.19627,-1
2.57092,1.48067,-1
1.49220,1.25954,-1
2.01029,2.59990,-1
1.75912,3.69479,-1
2.67708,1.73256,-1
1.54755,2.80819,-1
1.85371,3.17507,-1
4.42418,2.18214,-1
2.60776,1.70995,-1
1.13481,1.45415,-1
2.58033,1.00214,-1
1.13918,1.70897,-1
1.65527,2.21600,-1
1.85104,1.80034,-1
2.33498,2.29502,-1
1.40649,2.07040,-1
2.04448,3.01077,-1
3.34643,1.37947,-1
0.76936,1.87565,-1
1.07176,2.32853,-1
2.65907,1.60697,-1
1.46583,2.38278,-1
1.62373,0.69442,-1
2.38589,2.65156,-1
4.01174,2.65672,-1
0.97946,2.01232,-1
1.14614,1.62944,-1
1.59839,1.55303,-1
1.64906,0.72407,-1
1.72072,3.88619,-1
1.45501,2.94899,-1
2.68548,1.04884,-1
1.14588,0.82998,-1
1.78888,1.59816,-1
2.44954,3.02982,-1
1.91569,3.31875,-1
1.28550,2.77530,-1
1.73017,3.19253,-1
1.45214,5.77150,-1
1.29709,0.72427,-1
2.83279,2.66900,-1
1.52338,1.94920,-1
1.30839,1.28489,-1
1.21849,3.09584,-1
1.73062,2.00710,-1
0.90634,4.13740,-1
0.85345,1.08284,-1
1.78097,1.21102,-1
0.98422,2.61184,-1
1.40503,1.18233,-1
2.24827,2.16569,-1
2.38419,1.58226,-1
3.05816,3.88844,-1
1.10095,2.61694,-1
2.32259,1.57743,-1
1.87783,1.37271,-1
2.72093,1.57944,-1
1.80050,8.46820,-1
2.28434,1.95468,-1
2.60067,1.78328,-1
1.39838,1.78868,-1
1.37105,5.00176,-1
0.96888,0.71225,-1
-1.25432,2.63023,1
2.14085,-0.22181,1
2.04555,-0.47605,1
-0.30616,1.76894,1
2.55724,-0.57793,1
2.98167,-2.28278,1
1.45143,0.12617,1
1.61681,1.03379,1
1.75232,-0.49026,1
1.58209,-0.59830,1
2.48189,-1.81423,1
0.16036,2.21739,1
1.32292,0.24338,1
1.74461,-0.84465,1
0.91490,0.30698,1
0.89839,1.11033,1
2.97731,-0.83879,1
1.18282,0.18045,1
1.80994,-0.67107,1
-0.61973,1.48003,1
1.99168,0.67885,1
2.67111,-1.21895,1
1.42339,-0.26858,1
1.13195,0.56342,1
-1.24742,1.84483,1
1.61437,0.16281,1
1.94714,1.42298,1
0.10564,1.19030,1
1.60913,1.04394,1
1.75464,-1.44453,1
1.48146,-0.31814,1
2.24109,-0.66970,1
1.25687,1.14588,1
-0.66611,1.23601,1
1.39319,-0.12374,1
0.73825,1.40260,1
2.42031,-0.60499,1
1.42860,0.24548,1
1.14623,-0.60563,1
-0.77003,1.32557,1
1.22070,0.33926,1
0.62468,0.77353,1
1.67874,-0.50587,1
2.75344,-0.22867,1
1.08245,0.42273,1
2.45065,-0.81116,1
2.91745,-1.47624,1
1.83741,-0.30984,1
1.22571,2.80543,1
2.15885,-0.23222,1
0.98871,0.02245,1
1.99210,-0.74071,1
3.58176,-2.26330,1
1.63927,0.10817,1
0.39755,2.34526,1
2.08817,-0.17202,1
2.78804,-1.17683,1
2.47996,-1.11349,1
0.92687,0.24524,1
1.89205,-0.49074,1
0.63542,1.18913,1
2.09390,-0.06241,1
3.00144,-2.77694,1
1.80440,-0.59441,1
0.61865,0.66364,1
0.47379,1.14538,1
-0.00307,1.26535,1
-0.03260,0.70641,1
0.69771,1.40650,1
-0.45005,2.06986,1
-0.17805,1.60115,1
1.34342,0.21055,1
1.15092,-1.16731,1
2.15616,-0.02192,1
1.05824,0.98498,1
0.36598,1.40504,1
1.71509,-0.30122,1
0.21142,1.86033,1
2.35785,-0.70632,1
1.58661,-0.81109,1
1.87773,-0.43880,1
2.43440,-0.52847,1
0.00466,0.48834,1
1.29691,-0.50950,1
-0.79901,1.72068,1
1.51655,0.00120,1
-0.98741,1.60326,1
3.33980,-3.16591,1
1.91080,0.99925,1
1.75985,0.73511,1
-0.50442,2.10559,1
1.30886,0.34640,1
-0.06403,2.15073,1
-0.66693,1.90022,1
1.36840,-1.27169,1
2.42582,-1.53250,1
0.66498,0.97529,1
1.32122,-1.67548,1
1.64773,-0.18259,1
2.20568,-0.53363,1
1.65186,0.30724,1
1.25737,0.93813,1
0.81685,0.81696,1
1.72899,0.43242,1
3.12524,-0.53349,1
2.79904,-0.59633,1
1.05463,0.20811,1
3.04538,-2.92941,1
2.07858,-1.76959,1
1.98063,-2.58334,1
2.24330,-0.04567,1
0.49828,0.14316,1
-0.69060,2.77244,1
1.69543,0.14287,1
2.64861,-1.12867,1
1.54921,-0.81769,1
0.81578,0.33699,1
1.30793,1.77967,1
1.49891,-0.86689,1
1.16608,-0.26612,1
0.51509,1.47789,1
1.69797,0.57470,1
1.74200,0.33821,1
2.30849,-0.00131,1
1.87143,-0.43927,1
0.69414,1.37471,1
2.11280,-0.53059,1
1.45242,-0.12586,1
2.56488,-1.12942,1
1.64467,1.25050,1
1.51802,0.48396,1
1.31166,0.68779,1
2.22760,0.51011,1
1.81405,-1.15789,1
2.46558,0.58341,1
2.49841,-1.65284,1
1.92966,-0.30755,1
-0.45538,2.84518,1
-0.29086,1.77430,1
0.83278,1.12273,1
1.19334,0.59002,1
1.10313,1.25337,1
0.68343,0.10532,1
0.24375,0.78934,1
0.11884,1.20998,1
2.21392,-1.37627,1
1.37657,-0.45546,1
1.24030,-0.25142,1
1.84490,-0.78136,1
2.14810,-1.37594,1
0.63012,1.72930,1
0.87879,0.78096,1
2.10530,-1.25158,1
2.75751,-1.01649,1
1.10999,0.50527,1
2.20519,-0.75588,1
2.08443,-1.81008,1
1.53213,-0.44206,1
1.82212,-1.34529,1
0.46984,0.80868,1
-1.01758,2.41062,1
3.09033,-1.98291,1
0.68885,0.95466,1
1.37204,0.69828,1
2.10978,-1.11943,1
-0.63688,0.16689,1
2.27039,-1.08205,1
3.23568,-2.21289,1
2.17303,-1.60032,1
1.61327,1.17804,1
0.66343,0.12916,1
0.93266,1.45417,1
0.81979,0.40148,1
0.23697,1.40403,1
3.35626,-2.35115,1
2.07167,-0.13376,1
1.66033,-0.56160,1
1.09203,-0.42370,1
0.24681,1.04719,1
1.54500,-1.24140,1
1.83867,0.73734,1
3.23502,-2.26700,1
2.88828,-0.65663,1
0.59543,1.07628,1
2.86846,-2.23415,1
0.52392,1.91668,1
1.41598,-0.97804,1
1.21314,0.77450,1
2.31756,-1.58882,1
0.95393,1.00300,1
1.81200,0.23786,1
0.65809,1.71679,1
2.59329,-0.18864,1
1.54768,-1.35051,1
3.19243,-0.12168,1
0.22725,2.74418,1
2.61392,0.23670,1
3.51800,-1.47978,1
1.77864,2.00429,1
1.23050,-0.16068,1
1.80806,-0.43388,1
1.45097,0.93719,1
1.22350,1.46110,1
2.62126,-0.33768,1
1.51293,0.21918,1
2.61191,0.27110,1
1.86069,-0.81254,1
1.10303,0.59107,1
0.98221,0.96171,1
2.48260,-1.82732,1
0.34567,1.20442,1
1.50546,0.28500,1
1.70270,-0.28903,1
3.00365,-1.83755,1
1.99114,-0.10662,1
1.10805,-0.43337,1
0.91274,-0.25689,1
1.86852,-0.53938,1
1.07591,1.42017,1
0.55025,2.22597,1
0.26271,1.39232,1
1.81873,-0.18923,1
1.52706,0.65398,1
1.07490,0.43958,1
2.55261,-0.36160,1
1.37100,-0.12112,1
2.69029,-0.19494,1
2.44268,0.85641,1
0.11660,1.97092,1
2.07295,0.08884,1
1.53924,-1.34834,1
-0.31894,1.19637,1
0.95439,1.22646,1
2.37538,-0.31636,1
2.26096,-0.80375,1
0.34249,1.76937,1
0.90376,-0.40045,1
1.47372,0.32923,1
0.68744,0.03253,1
1.56688,-1.13517,1
